[2025-05-11 12:20:08]RUMI策略触发做多信号, ETH-USDT-SWAP当前价格: 2536.42, RUMI值: 96.03031895424758, 方向: 做多
[2025-05-11 12:20:09]RUMI策略触发做多信号, BTC-USDT-SWAP当前价格: 103948.0, RUMI值: 447.04415163383624, 方向: 做多
[2025-05-11 12:20:11]RUMI策略触发做多信号, NEIROETH-USDT-SWAP当前价格: 0.1090, RUMI值: 0.0032966575163397662, 方向: 做多
[2025-05-11 12:20:13]RUMI策略触发做多信号, DOGE-USDT-SWAP当前价格: 0.2396, RUMI值: 0.014942956078430799, 方向: 做多
[2025-05-11 12:20:15]RUMI策略触发做多信号, SUI-USDT-SWAP当前价格: 4.013, RUMI值: 0.03659992418301061, 方向: 做多
[2025-05-11 12:20:17]RUMI策略触发做多信号, PARTI-USDT-SWAP当前价格: 0.3186, RUMI值: 0.01668505359477173, 方向: 做多
[2025-05-11 12:20:19]RUMI策略触发做多信号, INIT-USDT-SWAP当前价格: 1.194, RUMI值: 0.08826056732026019, 方向: 做多
[2025-05-11 12:20:22]RUMI策略触发做多信号, XRP-USDT-SWAP当前价格: 2.401, RUMI值: 0.03680343267973239, 方向: 做多
[2025-05-11 12:20:23]RUMI策略触发做多信号, SOL-USDT-SWAP当前价格: 175.77, RUMI值: 3.107860653594439, 方向: 做多
[2025-05-11 12:20:25]RUMI策略触发做多信号, PI-USDT-SWAP当前价格: 0.9429, RUMI值: 0.022887594771241384, 方向: 做多
[2025-05-11 12:20:27]RUMI策略触发做多信号, BNB-USDT-SWAP当前价格: 662.20, RUMI值: 12.80794771241904, 方向: 做多
[2025-05-11 12:20:29]RUMI策略触发做多信号, PEPE-USDT-SWAP当前价格: 0.0000130, RUMI值: 6.194699869281048e-07, 方向: 做多
[2025-05-11 12:20:32]RUMI策略触发做多信号, ETHFI-USDT-SWAP当前价格: 1.219, RUMI值: 0.09876993464052203, 方向: 做多
